id,stan,data,uwagi
A-25,czeka,,
A-26,czeka,,
B-05,czeka,,
B-06,czeka,,
B-17,czeka,,
B-18,czeka,,
C-11,czeka,,
C-14,czeka,,
C-15,czeka,,
C-18,czeka,,
C-21,czeka,,
C-22,czeka,,
C-25,czeka,,
C-27,czeka,,
D-08,czeka,,
D-12,czeka,,
D-15,czeka,,
D-18,czeka,,
E-05,czeka,,
E-06,czeka,,
E-15,czeka,,
E-17,czeka,,
E-19,czeka,,
F-01,czeka,,
F-02,czeka,,
F-11,czeka,,
G-07,czeka,,
G-11,czeka,,
H-09,czeka,,
H-10,czeka,,
H-11,czeka,,
I-04,czeka,,
I-05,czeka,,
I-08,czeka,,
I-11,czeka,,
I-13,czeka,,
I-15,czeka,,
J-02,czeka,,
J-03,czeka,,
K-03,czeka,,
L-03,czeka,,
L-05,czeka,,
L-06,czeka,,
N-10,czeka,,
NODE-03,czeka,,
C-26,czeka,,
C-28,czeka,,
I-16,czeka,,
L-08,czeka,,
K-04,czeka,,
K-05,czeka,,
D-17,czeka,,
D-13,czeka,,
L-04,czeka,,
