id,decyzja,data
A-06,przed,2026-09-23
A-08,przed,2026-09-23
A-09,przed,2026-09-23
A-10,przed,2026-09-23
A-12,przed,2026-09-23
A-13,przed,2026-09-23
A-14,po,2026-09-24
A-15,przed,2026-09-23
A-16,przed,2026-09-23
B-03,przed,2026-09-23
B-04,przed,2026-09-23
B-05,przed,2026-09-23
B-06,przed,2026-09-23
B-08,przed,2026-09-23
B-09,przed,2026-09-23
B-17,przed,2026-09-23
B-18,przed,2026-09-23
C-14,przed,2026-09-23
C-15,przed,2026-09-23
C-19,po,2026-09-25
C-21,przed,2026-09-23
C-22,przed,2026-09-23
C-25,przed,2026-09-23
C-26,przed,2026-09-23
C-28,przed,2026-09-23
D-08,przed,2026-09-23
D-10,przed,2026-09-23
D-12,przed,2026-09-23
D-13,przed,2026-09-23
D-14,przed,2026-09-23
D-15,przed,2026-09-23
D-16,przed,2026-09-23
D-17,przed,2026-09-23
D-18,przed,2026-09-23
E-06,przed,2026-09-23
E-12,przed,2026-09-23
E-13,przed,2026-09-23
E-18,przed,2026-09-23
E-19,przed,2026-09-23
E-20,przed,2026-09-23
E-21,przed,2026-09-23
E-23,przed,2026-09-23
F-03,przed,2026-09-23
F-06,przed,2026-09-23
F-11,przed,2026-09-23
G-07,przed,2026-09-23
G-11,przed,2026-09-23
G-12,po,2026-09-25
G-19,przed,2026-09-23
G-21,przed,2026-09-23
G-22,przed,2026-09-23
H-04,przed,2026-09-23
H-10,przed,2026-09-23
H-11,przed,2026-09-23
H-13,przed,2026-09-23
H-16,przed,2026-09-23
H-18,przed,2026-09-23
H-19,przed,2026-09-23
I-01,przed,2026-09-23
I-04,przed,2026-09-23
I-05,przed,2026-09-23
I-07,przed,2026-09-23
I-08,przed,2026-09-23
I-15,przed,2026-09-23
I-18,przed,2026-09-23
I-22,przed,2026-09-23
J-02,przed,2026-09-23
J-03,przed,2026-09-23
J-06,przed,2026-09-23
K-04,przed,2026-09-23
K-05,przed,2026-09-23
K-06,przed,2026-09-23
K-08,przed,2026-09-23
K-14,przed,2026-09-23
L-03,przed,2026-09-23
L-04,przed,2026-09-23
L-05,przed,2026-09-23
L-06,przed,2026-09-23
L-08,przed,2026-09-23
L-09,przed,2026-09-23
L-10,przed,2026-09-23
L-11,przed,2026-09-23
L-12,przed,2026-09-23
M-07,przed,2026-09-23
M-09,przed,2026-09-23
M-10,przed,2026-09-23
M-24,przed,2026-09-23
M-27,przed,2026-09-23
M-28,przed,2026-09-23
M-33,przed,2026-09-23
M-34,przed,2026-09-23
N-05,przed,2026-09-23
N-11,przed,2026-09-23
N-12,przed,2026-09-23
N-13,przed,2026-09-23
N-20,przed,2026-09-23
P-11,przed,2026-09-23
P-12,przed,2026-09-23
P-13,przed,2026-09-23
Q-09,przed,2026-09-23
Q-14,przed,2026-09-23
X-04,przed,2026-09-23
X-05,przed,2026-09-23
X-06,przed,2026-09-23
X-08,przed,2026-09-23
X-09,przed,2026-09-23
X-10,przed,2026-09-23
X-19,przed,2026-09-23
X-20,przed,2026-09-23
X-22,przed,2026-09-23
X-48,przed,2026-09-23
X-49,przed,2026-09-23
Z-07,przed,2026-09-23
Z-08,przed,2026-09-23
Z-09,przed,2026-09-23
Z-11,przed,2026-09-23
Z-17,przed,2026-09-23
B-19,po,2026-09-23
C-27,po,2026-09-23
E-24,po,2026-09-23
F-12,po,2026-09-23
G-08,po,2026-09-23
I-13,po,2026-09-23
I-14,po,2026-09-23
I-16,po,2026-09-23
J-05,po,2026-09-23
J-07,po,2026-09-23
K-03,po,2026-09-23
N-10,po,2026-09-23
N-21,po,2026-09-23
NODE-01,po,2026-09-23
O-03,po,2026-09-23
O-05,po,2026-09-23
O-06,przed,2026-09-24
O-07,po,2026-09-23
O-08,przed,2026-09-24
O-09,po,2026-09-23
P-14,po,2026-09-23
Q-06,po,2026-09-23
Q-07,po,2026-09-23
Q-08,po,2026-09-23
Z-10,po,2026-09-23
Z-15,po,2026-09-23
PROD-03,przed,2026-09-23
